"ID","ProductName","CurrentCategories","CategoryCount","SuggestedPrimary","SuggestedKeep","RemoveThese","Action","NeedsFix"
"18824","40ft Shipping Container With 4 Side Doors","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18825","Used 40ft Shipping Container","Cabins for Sale | Containers for Sale","2","Cabins for Sale","Cabins for Sale","Containers for Sale","OK","YES"
"18826","10Ft Customized Container Stylish Pop-Up Bar","10Ft Containers","1","10Ft Containers","10Ft Containers","","OK - size category","NO"
"18827","10 ft Pink Container with Roll‑Up Door","Storage Containers for Sale","1","Storage Containers for Sale","Storage Containers for Sale","","Review","NO"
"18828","Enhanced 20ft Standard Shipping Container – Grey Finish","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18829","10Ft Modified Workshop/Office Container","Modified Containers","1","Modified Shipping Containers","Modified Shipping Containers","Modified Containers","Merge Modified Containers","YES"
"18830","New 45‑ft High Cube Shipping Container – Bold Blue Finish","Storage Containers for Sale","1","High Cube Containers","High Cube Containers","Storage Containers for Sale","OK - size category","YES"
"18831","10Ft Cut Down Used Container","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18832","20ft 20’ Slate Gray Shiplap 120V Shipping Container Office Mini Split","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18833","20 foot office in refurbished shipping container","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18834","Thermo King Refrigerator Container – 20′ 2021 Reefer","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18835","New 40ft HC Open Side Container with 4 Doors –One Trip – For Sale","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18836","Refrigerated 20′ Conex Shipping Container – Used","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18837","20ft dangerous goods shipping container","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"18838","Used Storage Container (40ft)","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18839","40ft HC Reefer Container–Wind & Water Tight, Non-Working For Sale","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18840","40′ used HC Shipping Storage Container","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18841","20′ Used Steel Shipping Container Storage Container","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18842","Stoughton Shipping Container (40ft)","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18843","Used 40ft Refrigerated Shipping Container – With Custom Side Door Access","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18844","2009 40′ High Cube Refrigerated Storage Container – CCR18757","Refrigerated Containers for sale","1","Refrigerated Containers","Refrigerated Containers","Refrigerated Containers for sale","Merge refrigerated duplicates","YES"
"18845","10ft Shipping Container Concession Stand","Modified Containers","1","Modified Shipping Containers","Modified Shipping Containers","Modified Containers","Merge Modified Containers","YES"
"18846","20′ Shipping Container CCR18113","Used Shipping Containers","1","Used Shipping Containers","Used Shipping Containers","","Pick one used-type category","NO"
"18847","20′ Flat Rack Shipping Container – One Trip, For Equipment, Oversize Items","Cabins for Sale | Flat Pack Units","2","Flat Pack Units","Flat Pack Units | Flat Pack Containers","Cabins for Sale","Merge flat pack group","YES"
"18848","New 40ft HC OS Container – Full Side Opening -One Trip","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18849","New 14ft fully equipped food trailer Ready to Make - in stock","Uncategorized","1","(assign manually)","","Uncategorized","FIX: uncategorized","YES"
"18850","Daikin 40ft Refrigerated Shipping Container (Reefer)","Refrigerated Containers for sale | Up to -40° F Refrigerated Containers","2","Refrigerated Containers","Refrigerated Containers","Refrigerated Containers for sale | Up to -40° F Refrigerated Containers","Merge refrigerated duplicates","YES"
"18851","Maersk RAHC-031 Used 40ft Cold Storage Reefer Container – Model CCR18060","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18862","30Ft X 8Ft Used Shipping Container Bulk","30ft Containers","1","30ft Containers","30ft Containers","","OK - size category","NO"
"18870","45FT High Cube Shipping Container","45Ft Containers","1","45Ft Containers","45Ft Containers","","OK - size category","NO"
"18875","New 45‑ft High Cube Shipping Container – Bold Blue Finish","45Ft Containers","1","45Ft Containers","45Ft Containers","","OK - size category","NO"
